Joint Tag,Target Number,TimeStamp,Elapsed Time,Motion Detected,Motion Threshold,Position X,Position Y,Position Z,Rotation X,Rotation y,Rotation z,Speed,Velocity X,Velocity Y,Velocity Z,Velocity X (orig),Velocity Y (orig),Velocity Z (orig),Acceleration X,Acceleration Y,Acceleration Z,Acceleration Strength,Direction X,Direction Y,Direction Z,Angular Speed,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Angular Acceleration X,Angular Acceleration Y,Angular Acceleration Z,Angular Acceleration Strength,Angular Axis X,Angular Axis Y,Angular Axis Z
RightWrist,0,00:00:00:033,0.03,FALSE,0.08,-1.540401,0.7407985,-1.008336,59.57573,-68.06146,106.3273,0.02831494,0.02509927,0.01282325,-0.002706746,0.07048755,-0.000452407,-0.008281564,0.0848814,0.04336603,-0.009153746,0.09575623,0.8864322,0.4528795,-0.09559426,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
RightWrist,0,00:00:00:050,0.05,FALSE,0.08,-1.540269,0.7408471,-1.008321,59.57789,-68.05237,106.3414,0.02207516,0.01956813,0.009997386,-0.002110258,0.007341595,0.002667699,0.001507359,0.05879636,0.03003915,-0.006340694,0.06632923,0.8864322,0.4528795,-0.09559426,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
RightWrist,0,00:00:00:067,0.07,FALSE,0.08,-1.54021,0.7408595,-1.00831,59.57465,-68.06665,106.3268,0.01955905,0.01733777,0.008857893,-0.001869733,0.005144247,0.001089617,0.000963892,0.03171354,0.01620249,-0.003420039,0.03577662,0.8864322,0.4528795,-0.09559426,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
RightWrist,0,00:00:00:083,0.08,FALSE,0.08,-1.54021,0.7408595,-1.00831,59.57465,-68.06665,106.3268,0.01955905,0.01733777,0.008857893,-0.001869733,0.005144247,0.001089617,0.000963892,0.03171354,0.01620249,-0.003420039,0.03577662,0.8864322,0.4528795,-0.09559426,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
RightWrist,0,00:00:00:100,0.1,FALSE,0.08,-1.540866,0.7405608,-1.008397,59.57888,-68.03189,106.3704,0.02752308,0.02439734,0.01246464,-0.002631048,-0.02193175,-0.009996536,-0.002919978,0.06719948,0.03433231,-0.007246899,0.07580894,0.8864322,0.4528795,-0.09559426,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
RightWrist,0,00:00:00:117,0.12,FALSE,0.08,-1.541434,0.7405441,-1.008209,59.58787,-68.04755,106.357,0.03273655,0.02901873,0.01482571,-0.003129426,-0.0238655,-0.000701337,0.007910082,0.0785879,0.04015067,-0.008475045,0.08865643,0.8864322,0.4528795,-0.09559426,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
RightWrist,0,00:00:00:133,0.13,FALSE,0.08,-1.541434,0.7405441,-1.008209,59.58787,-68.04755,106.357,0.03273655,0.02901873,0.01482571,-0.003129426,-0.0238655,-0.000701337,0.007910082,0.0785879,0.04015067,-0.008475045,0.08865643,0.8864322,0.4528795,-0.09559426,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
RightWrist,0,00:00:00:150,0.15,FALSE,0.08,-1.541865,0.7397287,-1.008116,59.57011,-68.052,106.3383,0.02923542,-0.02600237,-0.01302789,0.002976689,-0.02470621,-0.07404575,-0.008133371,-0.01941122,-0.009725544,0.00222215,0.02182475,-0.8894132,-0.44562,0.1018179,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
RightWrist,0,00:00:00:167,0.17,FALSE,0.08,-1.54277,0.7396953,-1.007974,59.58353,-68.05209,106.336,0.02919956,-0.02596875,-0.0130161,0.002969797,-0.0828407,-0.004045611,0.01205299,-0.06236564,-0.03125902,0.007132163,0.07012466,-0.889354,-0.4457636,0.1017069,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
RightWrist,0,00:00:00:183,0.18,FALSE,0.08,-1.542763,0.7397265,-1.00797,59.5906,-68.06174,106.3322,0.02690482,-0.0239279,-0.01199319,0.002736406,0.00057789,0.002752859,0.000357241,-0.007651622,-0.003835159,0.000875043,0.008603573,-0.889354,-0.4457636,0.1017069,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
RightWrist,0,00:00:00:200,0.2,FALSE,0.08,-1.543153,0.7397373,-1.008051,59.59331,-68.06067,106.3357,0.02566629,-0.02282641,-0.0114411,0.002610439,-0.000269185,0.003811665,-0.001636647,0.04377799,0.02194248,-0.00500647,-0.04922448,-0.889354,-0.4457636,0.1017069,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
RightWrist,0,00:00:00:217,0.22,FALSE,0.08,-1.542662,0.7395296,-1.008203,59.5854,-68.0665,106.3204,0.02745804,-0.02441991,-0.01223979,0.002792672,0.04430464,-0.01874634,-0.01367773,0.0213011,0.01067657,-0.002436003,-0.0239512,-0.889354,-0.4457636,0.1017069,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
RightWrist,0,00:00:00:233,0.23,FALSE,0.08,-1.542827,0.7395568,-1.00798,59.58996,-68.0542,106.3459,0.02246762,-0.01998167,-0.01001525,0.002285113,-0.01776239,0.002939101,0.02087188,0.0417967,0.02094942,-0.004779889,-0.0469967,-0.889354,-0.4457636,0.1017069,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
RightWrist,0,00:00:00:250,0.25,FALSE,0.08,-1.542442,0.7396677,-1.008061,59.5798,-68.05078,106.3492,0.02367811,-0.02105822,-0.01055484,0.002408228,0.03434232,0.009888034,-0.007219329,0.02744885,0.01375796,-0.003139063,-0.03086381,-0.889354,-0.4457636,0.1017069,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
RightWrist,0,00:00:00:267,0.27,FALSE,0.08,-1.542767,0.7393017,-1.00814,59.576,-68.02057,106.3726,0.02361919,-0.02100582,-0.01052857,0.002402235,-0.03132164,-0.03403539,-0.00771959,0.02466458,0.01236243,-0.002820653,-0.02773315,-0.889354,-0.4457636,0.1017069,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
RightWrist,0,00:00:00:283,0.28,FALSE,0.08,-1.54275,0.7393117,-1.00814,59.56709,-68.01996,106.3822,0.02066097,-0.01837492,-0.009209908,0.002101364,0.001539554,0.00089188,4.25E-05,0.04677448,0.02344438,-0.00534915,-0.05259377,-0.889354,-0.4457636,0.1017069,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
RightWrist,0,00:00:00:300,0.3,FALSE,0.08,-1.542798,0.7397537,-1.008028,59.56514,-68.03931,106.3568,0.02061799,-0.01833669,-0.009190747,0.002096992,-0.000773789,0.001307813,0.000119883,0.04469756,0.02240339,-0.005111633,-0.05025846,-0.889354,-0.4457636,0.1017069,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
RightWrist,0,00:00:00:317,0.32,FALSE,0.08,-1.542236,0.7399001,-1.00815,59.55432,-68.04993,106.3487,0.02488929,-0.02213539,-0.01109474,0.002531413,0.04943758,0.01288125,-0.01077284,0.006281111,0.003148229,-0.000718311,-0.007062554,-0.889354,-0.4457636,0.1017069,0,0,0,0,0,0,0,0,0.676887,-0.08362643,-0.7313212
